District,PS Name,FIR No,Date Report,Date Accident,Time Report,Time Accident,Sections,Accident type,Death,Grievous,Minor,Pedestrian,Cyclist,Latitude,Longitude,Place of Occurance,Type Area,City/Town/ Village,Lanes Road,Divider,Spot Accident,Weather,T -Junction,Collision,Type Road,Road Features,Visibility,Traffic Control,Accussed Vehicle,Victim Vehicle
THIRUVANANTHAPURAM CITY,Vattiyoorkavu,1000/2000,13/01/2020,01/12/2020,18:00:00,17:30:00,"279,337,338",Minor Injury,0,0,2,0,0,10.1902,76.2002,MOOTHAKUNNAM,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Hit from Back,National Highway,Straight Road,Good,Uncontrolled,Tipper,Motor Cycle
THIRUVANANTHAPURAM CITY,Vanchiyoor,1001/2000,04/01/2020,31/12/2020,17:00:00,17:00:00,"279,337,338",Minor Injury,0,0,1,0,0,10.032158,76.538476,MANOOR,Rural,Village,Single,no,In Open area,Cloudy,NA,Hit from Side,Other Road,Straight Road,Poor,Uncontrolled,Motor Cycle,Scooter
THIRUVANANTHAPURAM CITY,Vanchiyoor,1002/2000,02/01/2020,24/12/2020,18:31:00,09:55:00,"279,337,338",Grevious Injury,0,1,0,0,0,10.1260333,76.3318075,UC COLLEGE AUTOSTAND ,Urban,Village,Single,no,Institutional Area,Sunny/Clear,NA,Collision brush/side swipe,State Highway,Straight Road,Good,Police controlled,Auto rickshaw,Motor Cycle
THIRUVANANTHAPURAM CITY,Vanchiyoor,1003/2000,02/01/2020,01/01/2020,13:18:00,15:30:00,304(A),Minor Injury,0,0,1,0,0,9.920022,76.3897,ERUVELI JUNCTION,Rural,Village,Single,no,Near a religious place,Sunny/Clear,T- Junction,Collision brush/side swipe,Other Road,Straight Road,Good,Uncontrolled,Auto rickshaw,Motor Cycle
THIRUVANANTHAPURAM CITY,Vanchiyoor,1004/2000,08/01/2020,17/01/2019,13:00:00,10:15:00,"279,337,338",Minor Injury,0,0,1,0,0,9.991968,76.576018,NEAR NSS SCHOOL MUVATTUPUZHA,Rural,Village,Double,no,Institutional Area,Sunny/Clear,NA,Other,Other Road,Curved Road,Good,Uncontrolled,Scooter,Motor Cycle
THIRUVANANTHAPURAM CITY,Vattiyoorkavu,1005/2000,03/01/2020,03/01/2020,11:25:00,06:30:00,279,Fatal,1,0,0,1,0,10.107051,76.261841,KAVILNADA,Rural,Village,Double,no,At pedestrian crossing,Sunny/Clear,Staggered junction,Hit Pedestrian,National Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Vattiyoorkavu,1006/2000,05/01/2020,26/09/2020,15:00:00,17:30:00,"279,337",Grevious Injury,0,1,0,1,0,10.144816,76.258698,NEAR PARAPPURAM MASJID,Rural,Village,Single,no,At pedestrian crossing,Sunny/Clear,NA,Hit Pedestrian,State Highway,Curved Road,Good,Uncontrolled,Motor Cycle,Car
THIRUVANANTHAPURAM CITY,Thumba,1007/2000,04/01/2020,01/01/2020,14:30:00,18:00:00,"279,337,338",Grevious Injury,0,1,0,1,0,10.136189,76.224757,NEAR VELUTHAT TEMPLE,Rural,Village,Single,no,In Residential area,Sunny/Clear,NA,Hit Pedestrian,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Thumba,1008/2000,02/01/2020,04/11/2020,09:50:00,00:10:00,"279,337,338",Fatal,1,0,0,0,0,9.933086,76.384201,AMBADIMALA,Rural,Village,Single,no,In Open area,Sunny/Clear,NA,With animal,Other Road,Straight Road,Good,Uncontrolled,Car,Car
THIRUVANANTHAPURAM CITY,Vanchiyoor,1009/2000,14/01/2020,08/01/2020,13:56:00,16:30:00,"279,337,338",Grevious Injury,0,1,0,1,0,10.1186076,76.3410885,PARAVOOR KAVALA,Urban,Town,Four lanes,yes,Near bus stop,Sunny/Clear,NA,Hit Pedestrian,National Highway,Straight Road,Good,Traffic light signal,Goods Auto,Scooter
THIRUVANANTHAPURAM CITY,Kazhakkuttom,1010/2000,25/01/2020,05/01/2020,17:40:00,08:45:00,MO(Minor),Grevious Injury,0,1,0,0,0,9.942077,76.644036,VAZHAKULAM,Rural,Town,Double,no,Market/Commercial area,Sunny/Clear,NA,Hit from Back,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Scooter
THIRUVANANTHAPURAM CITY,Thiruvallam,1011/2000,08/01/2020,08/01/2020,12:33:00,15:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.953325,76.651391,POOKOTTUVALAVU,Rural,Village,Double,no,In Open area,Sunny/Clear,NA,Head on Collision,Other Road,Others,Good,Uncontrolled,Car,Motor Cycle
THIRUVANANTHAPURAM CITY,Nemom,1012/2000,14/01/2020,07/12/2020,17:20:00,20:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.946362,76.63493,PAREEKAPEEDIKA,Rural,Village,Double,no,Near bus stop,Mist/Fog,NA,Hit from Back,State Highway,Curved Road,Poor,Uncontrolled,Auto rickshaw,Motor Cycle
THIRUVANANTHAPURAM CITY,Medical College,1013/2000,04/01/2020,04/11/2020,18:15:00,17:45:00,"279,337,338",Minor Injury,0,0,1,1,0,9.951255,76.628802,NEAR VISWAJYOTHI COLLEGE,Rural,Village,Double,no,Institutional Area,Sunny/Clear,NA,Hit Pedestrian,State Highway,Curved Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
THIRUVANANTHAPURAM CITY,Nemom,1014/2000,06/01/2020,15/12/2020,12:15:00,22:00:00,"279,337,338",Grevious Injury,0,1,1,0,0,9.922299,76.67645,KADALIKKAD,Rural,Village,Double,no,Near bus stop,Mist/Fog,NA,Hit from Side,State Highway,Straight Road,Poor,Uncontrolled,Others,Motor Cycle
THIRUVANANTHAPURAM CITY,Nemom,1015/2000,01/01/2020,24/12/2020,16:13:00,14:15:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.996156,76.593602,PERUMATTAM,Rural,Village,Double,no,Market/Commercial area,Sunny/Clear,T- Junction,Hit from Back,Other Road,Curved Road,Good,Uncontrolled,Auto rickshaw,Motor Cycle
THIRUVANANTHAPURAM CITY,Nemom,1016/2000,03/01/2020,05/12/2020,12:06:00,17:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.94908,76.38316,NEAR KEL MAMALA,Rural,Village,Single,no,Near a factory/industrial area,Sunny/Clear,NA,Right turn collision,National Highway,Straight Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Poonthura,1017/2000,15/01/2020,14/01/2020,17:00:00,19:00:00,"279,304(A)",Fatal,1,0,0,1,0,9.923007,76.674759,KADALIKKAD JN,Rural,Village,Double,no,In Open area,Cloudy,NA,Hit Pedestrian,State Highway,Straight Road,Poor,Uncontrolled,Scooter,Scooter
THIRUVANANTHAPURAM CITY,Poonthura,1018/2000,26/01/2020,25/01/2020,11:00:00,21:30:00,"279,337,338",Fatal,1,0,0,0,0,9.973205,76.584218,NEAR MALSYA FED FISH STALL ARAKKUZHA,Rural,Village,Double,no,Market/Commercial area,Sunny/Clear,T- Junction,Skidding,Other Road,Curved Road,Good,Uncontrolled,Car,Scooter
THIRUVANANTHAPURAM CITY,Peroorkada,1019/2000,09/01/2020,28/12/2020,16:40:00,18:45:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.955941,76.625509,AVOLY,Rural,Village,Double,no,In Open area,Mist/Fog,NA,Head on Collision,State Highway,Straight Road,Poor,Uncontrolled,Scooter,Scooter
